Multiplier_Type,Key,Value,Lower_Bound,Upper_Bound,Priority,Effective_From,Effective_To,Record_Status,Notes
time_of_day,morning_peak_06_10,1.10,1.00,1.30,10,2026-03-12,,active,Aligns with current config trend
time_of_day,evening_peak_17_20,1.15,1.00,1.35,10,2026-03-12,,active,Aligns with current config trend
time_of_day,late_night_22_05,1.20,1.00,1.40,10,2026-03-12,,active,Aligns with current config trend
time_of_day,normal_hours,1.00,0.90,1.20,10,2026-03-12,,active,Baseline
supply_demand,high_supply_20_plus,0.85,0.75,1.00,20,2026-03-12,,active,Discount for high supply
supply_demand,supply_10_19,0.90,0.80,1.05,20,2026-03-12,,active,Discount for medium-high supply
supply_demand,supply_5_9,0.95,0.85,1.10,20,2026-03-12,,active,Small discount
supply_demand,supply_2_4,1.00,0.90,1.15,20,2026-03-12,,active,Baseline
supply_demand,supply_1,1.15,1.00,1.35,20,2026-03-12,,active,Premium for low supply
supply_demand,supply_0,1.25,1.00,1.50,20,2026-03-12,,active,Premium for no supply
city_tier,metro,1.10,1.00,1.25,30,2026-03-12,,active,Higher demand cost
city_tier,urban,1.05,0.95,1.20,30,2026-03-12,,active,Moderate uplift
city_tier,rural,0.95,0.80,1.10,30,2026-03-12,,active,Lower demand cost
traffic_profile,high,1.12,1.00,1.25,40,2026-03-12,,active,Congestion penalty
traffic_profile,medium,1.05,0.95,1.15,40,2026-03-12,,active,Moderate traffic
traffic_profile,low,0.98,0.85,1.05,40,2026-03-12,,active,Less congestion
vehicle_age,0_2_years,1.00,0.90,1.10,50,2026-03-12,,active,No age penalty
vehicle_age,2_4_years,1.03,0.90,1.15,50,2026-03-12,,active,Minor age impact
vehicle_age,4_6_years,1.07,0.90,1.20,50,2026-03-12,,active,Medium age impact
vehicle_age,6_plus_years,1.12,0.95,1.30,50,2026-03-12,,active,Higher maintenance/fuel drift
confidence_adjustment,score_85_plus,1.00,0.95,1.05,60,2026-03-12,,active,Trust source
confidence_adjustment,score_70_84,1.03,0.95,1.10,60,2026-03-12,,active,Slight conservative uplift
confidence_adjustment,score_below_70,1.07,0.98,1.20,60,2026-03-12,,active,Compensate data uncertainty
guardrail,base_rate_min_per_km,2.00,1.00,5.00,100,2026-03-12,,active,Hard floor for pooling base rate
guardrail,base_rate_max_per_km,18.00,8.00,30.00,100,2026-03-12,,active,Hard cap for pooling base rate
guardrail,total_multiplier_min,0.75,0.60,1.00,100,2026-03-12,,active,Prevents over-discounting
guardrail,total_multiplier_max,1.85,1.10,2.50,100,2026-03-12,,active,Prevents excessive surge
guardrail,per_seat_car_min_per_km,2.80,1.50,5.00,110,2026-03-12,,active,Comfort floor for car pooling per-seat fare
guardrail,per_seat_car_max_per_km,8.50,4.00,14.00,110,2026-03-12,,active,Comfort cap for car pooling per-seat fare
guardrail,per_seat_bike_min_per_km,1.20,0.80,3.00,110,2026-03-12,,active,Comfort floor for bike pooling per-seat fare
guardrail,per_seat_bike_max_per_km,4.00,2.00,7.00,110,2026-03-12,,active,Comfort cap for bike pooling per-seat fare
guardrail,per_seat_scooty_min_per_km,1.10,0.70,2.80,110,2026-03-12,,active,Comfort floor for scooty pooling per-seat fare
guardrail,per_seat_scooty_max_per_km,3.60,1.80,6.50,110,2026-03-12,,active,Comfort cap for scooty pooling per-seat fare
