Vehicle_Category,Brand,Model,Sub_Category,Fuel_Type,Launch_Year,Initial_Mileage_New,After_2_Years,After_4_Years,After_6Plus_Years,Unit,Notes
2-Wheeler,Royal Enfield,Continental GT 535,Sport/Cafe Racer,Petrol,2013,26-28,~25,~23,~20-22,kmpl,
2-Wheeler,Royal Enfield,Himalayan 411,Adventure,Petrol,2016,30-32,~29,~27,~25,kmpl,
2-Wheeler,Royal Enfield,Interceptor 650,Retro/Cruiser,Petrol,2018,24-26,~23,~22,~21,kmpl,
2-Wheeler,Royal Enfield,Meteor 350,Cruiser,Petrol,2020,35-40,~36,~34,,kmpl,
2-Wheeler,Royal Enfield,Hunter 350,Roadster,Petrol,2022,36-38,~35,~34 (Est.),,kmpl,
2-Wheeler,Royal Enfield,Bear 650,Adventure,Petrol,2024,22,~21 (Est.),~20 (Est.),,kmpl,
2-Wheeler,Royal Enfield,Classic 650,Classic/Retro,Petrol,2025,22-25,~23,,,kmpl,
2-Wheeler,Royal Enfield,Bullet 650,Classic/Retro,Petrol,2026,23-25,~23,,,kmpl,
2-Wheeler,Royal Enfield,Flying Flea C6,Electric Motorcycle,Electric,2026,~150,~145 (Battery Health),,,km per charge,EV - range per charge
2-Wheeler,Bajaj,Pulsar NS200,Sports Naked,Petrol,2012,35-40,~36,~34,~30-32,kmpl,
2-Wheeler,Bajaj,Pulsar RS200,Sports Faired,Petrol,2015,35,~33,~31,~28-30,kmpl,
2-Wheeler,Bajaj,Dominar 400,Sport Tourer,Petrol,2016,27-30,~26,~24,~22-23,kmpl,
2-Wheeler,Bajaj,Pulsar NS400Z,Sports Naked,Petrol,2024,32,~30,,,kmpl,
2-Wheeler,Bajaj,Avenger 160,Cruiser,Petrol,2019,45-50,~44,~42,,kmpl,
2-Wheeler,Bajaj,V15,Cruiser,Petrol,2016,50-55,~48,~45,,kmpl,
2-Wheeler,Bajaj,Freedom 125,Commuter,CNG,2024,102,~95,~92,,km/kg,World's first CNG bike
2-Wheeler,Bajaj,Chetak (Original),Electric Scooter,Electric,2019,90-95,~88,~82,,km (IDC),EV range
2-Wheeler,Bajaj,Chetak Facelift,Electric Scooter,Electric,2024,126,~120,~117,,km (IDC),EV range
2-Wheeler,Bajaj,Chetak (2026 Gen),Electric Scooter,Electric,2026,~155,~150 (Proj.),~146 (Proj.),,km (IDC),EV range
2-Wheeler,Bajaj,CT 100,Entry Commuter,Petrol,2004,85-90,~82,~78,~70-75,kmpl,
2-Wheeler,Bajaj,Platina 110,Entry Commuter,Petrol,2019,70-75,~68,~65,~60-62,kmpl,
2-Wheeler,Bajaj,Pulsar 125,Commuter Sports,Petrol,2019,50-55,~48,~46,~42-44,kmpl,
2-Wheeler,Bajaj,Pulsar 150,Commuter Sports,Petrol,2001,45-50,~43,~40,~36-38,kmpl,
2-Wheeler,TVS,Apache RTR 200 4V,Sports Naked,Petrol,2016,38-40,~37,~35,~32,kmpl,
2-Wheeler,TVS,Apache RR 310,Sports Faired,Petrol,2017,30-34,~30,~28,~26,kmpl,
2-Wheeler,TVS,Apache RTX 300,Sports Naked,Petrol,2025,32-35,~32 (Est.),,,kmpl,
2-Wheeler,TVS,Apache RR 450,Sports Faired,Petrol,2026,25-28,~25 (Proj.),,,kmpl,
2-Wheeler,TVS,Raider 125,Commuter Sports,Petrol,2021,57-62,~56,~54,,kmpl,
2-Wheeler,TVS,Ronin 225,Roadster,Petrol,2022,40-42,~39,~37 (Est.),,kmpl,
2-Wheeler,TVS,Jupiter 125,Scooter,Petrol,2021,50-55,~48,~45,,kmpl,
2-Wheeler,TVS,Ntorq 125,Sports Scooter,Petrol,2018,40-45,~38,~35,,kmpl,
