Vehicle_Category,Brand,Model,Fuel_Type,Transmission,Launch_Year,Vehicle_Age_Bucket,Source_Mileage_Min,Source_Mileage_Max,Real_World_Mileage_Min,Real_World_Mileage_Max,Real_World_Mileage_Avg,Mileage_Unit,Energy_Unit_Price_INR,Estimated_Cost_Per_Km_INR,City_Tier,Traffic_Profile,Data_Source,Confidence_Score,Pricing_Eligible,Fallback_Level,Record_Status,Effective_From,Effective_To,Notes
4-Wheeler,Maruti Suzuki,Alto K10,Petrol,Manual,2022,0-2,24,25,18,21,19.5,kmpl,105,5.38,metro,high,ARAI+fleet_observation,88,Y,model_exact,active,2026-03-12,,High confidence commuter baseline
4-Wheeler,Maruti Suzuki,WagonR,Petrol,Manual,2019,2-4,24,25,17,20,18.5,kmpl,105,5.68,metro,high,ARAI+fleet_observation,86,Y,model_exact,active,2026-03-12,,Urban hatchback baseline
4-Wheeler,Maruti Suzuki,WagonR CNG,CNG,Manual,2019,2-4,34,34,24,27,25.5,kmkg,85,3.33,metro,high,OEM+CNG_fleet_observation,84,Y,model_exact,active,2026-03-12,,CNG efficiency reference
4-Wheeler,Maruti Suzuki,Swift,Petrol,Manual,2023,0-2,24,25,17,20,18.5,kmpl,105,5.68,metro,high,ARAI+fleet_observation,87,Y,model_exact,active,2026-03-12,,Popular pooling hatchback
4-Wheeler,Maruti Suzuki,Dzire,Petrol,Manual,2023,0-2,23,24,16.5,19,17.8,kmpl,105,5.90,metro,high,ARAI+fleet_observation,86,Y,model_exact,active,2026-03-12,,Sedan commute profile
4-Wheeler,Maruti Suzuki,Brezza,Petrol,Automatic,2022,0-2,20,22,13.5,16.5,15.0,kmpl,105,7.00,metro,high,ARAI+fleet_observation,83,Y,model_exact,active,2026-03-12,,Automatic SUV city behavior
4-Wheeler,Tata Motors,Tiago,Petrol,Manual,2016,6+,18,20,13,15.5,14.2,kmpl,105,7.39,metro,high,OEM+fleet_observation,80,Y,model_exact,active,2026-03-12,,Aging fleet penalty included
4-Wheeler,Tata Motors,Tigor,Petrol,Manual,2017,6+,18,20,13,15,14.0,kmpl,105,7.50,metro,high,OEM+fleet_observation,79,Y,model_exact,active,2026-03-12,,Sedan city-load estimate
4-Wheeler,Tata Motors,Nexon,Diesel,Manual,2017,6+,15,17,12,14,13.0,kmpl,92,7.08,metro,high,OEM+fleet_observation,81,Y,model_exact,active,2026-03-12,,Diesel compact SUV profile
4-Wheeler,Tata Motors,Punch,Petrol,Manual,2021,2-4,16,18,12.5,15,13.8,kmpl,105,7.61,metro,high,OEM+fleet_observation,82,Y,model_exact,active,2026-03-12,,Micro-SUV reference
4-Wheeler,Hyundai,Venue,Petrol,Automatic,2019,4-6,17,20,12,15,13.5,kmpl,105,7.78,metro,high,OEM+fleet_observation,81,Y,model_exact,active,2026-03-12,,Turbo automatic city reference
4-Wheeler,Hyundai,Verna Facelift,Petrol,Automatic,2023,0-2,17,19,12.5,15.5,14.0,kmpl,105,7.50,metro,high,OEM+fleet_observation,82,Y,model_exact,active,2026-03-12,,Premium sedan city profile
4-Wheeler,Kia,Seltos,Diesel,Automatic,2019,4-6,16,20,12,15,13.5,kmpl,92,6.81,metro,high,OEM+fleet_observation,81,Y,model_exact,active,2026-03-12,,Popular SUV diesel reference
